country,trend_per_year,volatility,mean_anomaly,min_year,max_year,total_records
Afghanistan,0.012366596321556355,1.445580071146116,0.10620801033591731,1892,2020,1548
Albania,0.010880803238670246,1.4805448197694526,0.15347868217054264,1892,2020,1548
Algeria,0.011662868962432925,1.0802632831044707,0.20499806201550386,1892,2020,1548
American Samoa,0.009897831413983304,0.5343645912545459,0.09879328165374676,1892,2020,1548
Andorra,0.011583874198717953,1.3987966571761399,0.2760549095607235,1892,2020,1548
Angola,0.010827413820810343,0.6679686883358091,0.23399611147116006,1892,2020,1543
Anguilla,0.010333326858906743,0.5248401622244051,-0.03429135967849967,1892,2016,1493
Antarctica,0.017874089452214456,1.1909769211363854,0.36001666666666665,1956,2020,780
Antigua and Barbuda,0.011389423076923082,0.5705697387841178,0.014795219638242893,1892,2020,1548
Argentina,0.009099717221973763,0.9399252460051024,0.0072015503875969,1892,2020,1548
Armenia,0.012696801859719744,1.7052856140674495,0.06779909560723514,1892,2020,1548
Aruba,0.00978327140252348,0.5764967495984565,-0.08762089752176826,1892,2016,1493
Australia,0.009635727396392369,0.8434232747564588,0.09062919896640828,1892,2020,1548
Austria,0.013386203041144896,1.7577512461115594,0.2552583979328165,1892,2020,1548
Azerbaijan,0.013201713905038761,1.6533683958067251,0.05845478036175711,1892,2020,1548
Bahamas,0.008447851079146444,0.7484707034243877,0.07098526456798392,1892,2016,1493
Bahrain,0.012981328730620158,1.0873683862562715,0.14598191214470282,1892,2020,1548
Baker Island,0.01031300955218752,0.5296318651160501,-0.09756195579370396,1892,2016,1493
Bangladesh,0.008197379994036968,0.7112754564122077,-0.00694767441860465,1892,2020,1548
Barbados,0.011494827538014313,0.5586895974146641,-0.01021640826873385,1892,2020,1548
Belarus,0.014629394007155632,2.3500727128409045,0.30540826873385013,1892,2020,1548
Belgium,0.012011972644603465,1.7243875865748866,0.24761950904392765,1892,2020,1548
Belize,0.008417269025790104,0.683051916164199,-0.02636434108527132,1892,2020,1548
Benin,0.01050061447152654,0.6761074196879598,0.1835096899224806,1892,2020,1548
Bhutan,0.009080973744036972,0.7766802309511924,0.05436369509043928,1892,2020,1548
Bolivia,0.009675206513527882,0.7376410161497129,-0.0028732212160413944,1892,2020,1546
Bosnia and Herzegovina,0.011922487608079908,1.7844303651577849,0.21471511627906978,1892,2020,1548
Botswana,0.010899836482558142,0.9333393416804445,0.14564276485788114,1892,2020,1548
Brazil,0.011252049791293982,0.5901641469825337,0.07967894056847545,1892,2020,1548
British Virgin Islands,0.010331605965222338,0.5416686996810781,-0.03340053583389149,1892,2016,1493
Bulgaria,0.011150348930381635,1.7602716743239974,0.13593475452196382,1892,2020,1548
Burkina Faso,0.010293755590339891,0.7806823838611125,0.18749612403100777,1892,2020,1548
